best_iou_against_opposite_pass,decision,image_id,instance_id,primary_accepted_instances,repeat_accepted_instances,reviewer_notes,side,source_candidate_component_ids
0.0,accepted,NLB_517255503EDR_F0541610NCAM07753M1,NLB_517255503EDR_F0541610NCAM07753M1:rock-006,10,9,,primary,[2]
0.0,accepted,NLB_483955685EDR_F0470598NCAM00320M1,NLB_483955685EDR_F0470598NCAM00320M1:rock-003,5,6,,repeat,[3]
0.177316969953449,accepted,NLB_490004046EDR_F0482122NCAM00281M1,NLB_490004046EDR_F0482122NCAM00281M1:rock-002,6,5,,primary,[1]
0.5607547169811321,accepted,NLB_490004046EDR_F0482122NCAM00281M1,NLB_490004046EDR_F0482122NCAM00281M1:rock-003,6,5,,primary,[1]
0.11880654890133563,accepted,NLB_490004046EDR_F0482122NCAM00281M1,NLB_490004046EDR_F0482122NCAM00281M1:rock-004,6,5,,primary,[1]
0.0,accepted,NLB_490004046EDR_F0482122NCAM00281M1,NLB_490004046EDR_F0482122NCAM00281M1:rock-004,6,5,,repeat,[1]
0.0,accepted,NLB_490004046EDR_F0482122NCAM00281M1,NLB_490004046EDR_F0482122NCAM00281M1:rock-005,6,5,,repeat,[1]
0.20454026922199406,accepted,NLB_548252623EDR_F0631150NCAM00312M1,NLB_548252623EDR_F0631150NCAM00312M1:rock-005,2,3,,repeat,[4]
0.0,accepted,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-001,15,6,,primary,[1]
0.0,accepted,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-007,15,6,,primary,[2]
0.0,accepted,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-009,15,6,,primary,[2]
0.033501229940260044,accepted,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-010,15,6,,primary,[2]
0.04508756676189293,accepted,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-012,15,6,,primary,[2]
0.12605733082706766,accepted,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-013,15,6,,primary,[2]
0.0,accepted,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-014,15,6,,primary,[2]
0.0,accepted,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-015,15,6,,primary,[2]
0.0,accepted,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-016,15,6,,primary,[2]
